U01,加购物车但还没买,1,2013-07-26 10:00:00
U01,加购物车但还没买,3,2013-07-02 13:00:00
U01,2IN4M,0,2013-04-01 10:00:00
U01,2IN4M,0,2013-04-01 13:00:00
U01,2IN4M,0,2013-04-01 14:00:00
U01,2IN4M,0,2013-04-01 15:00:00
U01,2IN4M,1,2013-05-01 10:00:00
U01,2IN4M,0,2013-06-01 10:00:00
U01,2IN4M,1,2013-07-01 10:00:00
U01,2IN4W,0,2013-07-10 10:00:00
U01,2IN4W,1,2013-07-17 10:00:00
U01,2IN4W,1,2013-07-24 10:00:00
U01,2IN4W,0,2013-07-31 10:00:00
U01,3IN7D,0,2013-07-25 10:00:00
U01,3IN7D,0,2013-07-26 11:00:00
U01,3IN7D,0,2013-07-27 12:00:00
U01,3IN7D,0,2013-07-28 13:00:00
U01,3IN7D,0,2013-07-29 14:00:00
U01,3IN7D,0,2013-07-30 15:00:00
U01,3IN7D,0,2013-07-31 16:00:00
U01,CLK01,1,2013-07-30 10:00:00
U01,CLK01,1,2013-07-30 11:00:00
U01,CLK01,1,2013-07-30 12:00:00
U01,CLK01,1,2013-07-31 13:00:00
U01,CLK01,1,2013-07-31 14:00:00
U01,CLK01,1,2013-07-31 15:00:00
U01,CLK01,1,2013-07-31 16:00:00
